Order Date,Customer ID,City,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
9/11/2013,CG-12520,Henderson,Kentucky,Furniture,Bookcases,261.96,2,0,41.9136
9/11/2013,CG-12520,Henderson,Kentucky,Furniture,Chairs,731.94,3,0,219.582
13-06-2013,DV-13045,Los Angeles,California,Office Supplies,Labels,14.62,2,0,6.8714
11/10/2012,SO-20335,Fort Lauderdale,Florida,Furniture,Tables,957.5775,5,0.45,-383.031
11/10/2012,SO-20335,Fort Lauderdale,Florida,Office Supplies,Storage,22.368,2,0.2,2.5164
9/6/2011,BH-11710,Los Angeles,California,Furniture,Furnishings,48.86,7,0,14.1694
9/6/2011,BH-11710,Los Angeles,California,Office Supplies,Art,7.28,4,0,1.9656
9/6/2011,BH-11710,Los Angeles,California,Technology,Phones,907.152,6,0.2,90.7152
9/6/2011,BH-11710,Los Angeles,California,Office Supplies,Binders,18.504,3,0.2,5.7825
9/6/2011,BH-11710,Los Angeles,California,Office Supplies,Appliances,114.9,5,0,34.47
9/6/2011,BH-11710,Los Angeles,California,Furniture,Tables,1706.184,9,0.2,85.3092
9/6/2011,BH-11710,Los Angeles,California,Technology,Phones,911.424,4,0.2,68.3568
16-04-2014,AA-10480,Concord,North Carolina,Office Supplies,Paper,15.552,3,0.2,5.4432
6/12/2013,IM-15070,Seattle,Washington,Office Supplies,Binders,407.976,3,0.2,132.5922
22-11-2012,HP-14815,Fort Worth,Texas,Office Supplies,Appliances,68.81,5,0.8,-123.858
22-11-2012,HP-14815,Fort Worth,Texas,Office Supplies,Binders,2.544,3,0.8,-3.816
11/11/2011,PK-19075,Madison,Wisconsin,Office Supplies,Storage,665.88,6,0,13.3176
13-05-2011,AG-10270,West Jordan,Utah,Office Supplies,Storage,55.5,2,0,9.99
27-08-2011,ZD-21925,San Francisco,California,Office Supplies,Art,8.56,2,0,2.4824
27-08-2011,ZD-21925,San Francisco,California,Technology,Phones,213.48,3,0.2,16.011
27-08-2011,ZD-21925,San Francisco,California,Office Supplies,Binders,22.72,4,0.2,7.384
10/12/2013,KB-16585,Fremont,Nebraska,Office Supplies,Art,19.46,7,0,5.0596
10/12/2013,KB-16585,Fremont,Nebraska,Office Supplies,Appliances,60.34,7,0,15.6884
17-07-2014,SF-20065,Philadelphia,Pennsylvania,Furniture,Chairs,71.372,2,0.3,-1.0196
25-09-2012,EB-13870,Orem,Utah,Furniture,Tables,1044.63,3,0,240.2649
16-01-2013,EH-13945,Los Angeles,California,Office Supplies,Binders,11.648,2,0.2,4.2224
16-01-2013,EH-13945,Los Angeles,California,Technology,Accessories,90.57,3,0,11.7741
17-09-2012,TB-21520,Philadelphia,Pennsylvania,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
17-09-2012,TB-21520,Philadelphia,Pennsylvania,Office Supplies,Binders,9.618,2,0.7,-7.0532
17-09-2012,TB-21520,Philadelphia,Pennsylvania,Furniture,Furnishings,124.2,3,0.2,15.525
17-09-2012,TB-21520,Philadelphia,Pennsylvania,Office Supplies,Envelopes,3.264,2,0.2,1.1016
17-09-2012,TB-21520,Philadelphia,Pennsylvania,Office Supplies,Art,86.304,6,0.2,9.7092
17-09-2012,TB-21520,Philadelphia,Pennsylvania,Office Supplies,Binders,6.858,6,0.7,-5.715
17-09-2012,TB-21520,Philadelphia,Pennsylvania,Office Supplies,Art,15.76,2,0.2,3.546
20-10-2014,MA-17560,Houston,Texas,Office Supplies,Paper,29.472,3,0.2,9.9468
9/12/2013,GH-14485,Richardson,Texas,Technology,Phones,1097.544,7,0.2,123.4737
9/12/2013,GH-14485,Richardson,Texas,Furniture,Furnishings,190.92,5,0.6,-147.963
27-12-2012,SN-20710,Houston,Texas,Office Supplies,Envelopes,113.328,9,0.2,35.415
27-12-2012,SN-20710,Houston,Texas,Furniture,Bookcases,532.3992,3,0.32,-46.9764
27-12-2012,SN-20710,Houston,Texas,Furniture,Chairs,212.058,3,0.3,-15.147
27-12-2012,SN-20710,Houston,Texas,Technology,Phones,371.168,4,0.2,41.7564
11/9/2014,LC-16930,Naperville,Illinois,Technology,Phones,147.168,4,0.2,16.5564
18-07-2013,RA-19885,Los Angeles,California,Office Supplies,Storage,77.88,2,0,3.894
20-09-2014,ES-14080,Melbourne,Florida,Office Supplies,Storage,95.616,2,0.2,9.5616
12/3/2013,ON-18715,Eagan,Minnesota,Technology,Accessories,45.98,2,0,19.7714
12/3/2013,ON-18715,Eagan,Minnesota,Office Supplies,Binders,17.46,2,0,8.2062
20-10-2011,PO-18865,Westland,Michigan,Office Supplies,Storage,211.96,4,0,8.4784
21-06-2013,LH-16900,Dover,Delaware,Technology,Accessories,45,3,0,4.95
21-06-2013,LH-16900,Dover,Delaware,Technology,Phones,21.8,2,0,6.104
18-04-2012,DP-13000,New Albany,Indiana,Office Supplies,Binders,38.22,6,0,17.9634
18-04-2012,DP-13000,New Albany,Indiana,Office Supplies,Labels,75.18,6,0,35.3346
18-04-2012,DP-13000,New Albany,Indiana,Furniture,Furnishings,6.16,2,0,2.9568
18-04-2012,DP-13000,New Albany,Indiana,Furniture,Chairs,89.99,1,0,17.0981
12/12/2013,JM-15265,New York City,New York,Office Supplies,Fasteners,15.26,7,0,6.2566
12/12/2013,JM-15265,New York City,New York,Technology,Phones,1029.95,5,0,298.6855
18-06-2013,TB-21055,Troy,New York,Office Supplies,Storage,208.56,6,0,52.14
18-06-2013,TB-21055,Troy,New York,Office Supplies,Paper,32.4,5,0,15.552
18-06-2013,TB-21055,Troy,New York,Furniture,Chairs,319.41,5,0.1,7.098
